Season,Name,Age,Tm,eFG%,AST,ORB,DRB,PTS
2018-19,Deandre Jordan,30,NYK,0.634,3,3.4,8,10.9
2019-20,Deandre Jordan,31,BRK,0.666,1.9,2.5,7.5,8.3
Career,Deandre Jordan,,,0.67,0.9,3.2,7.6,9.5
2005-06,Chris Paul,20,NOK,0.456,7.8,0.8,4.3,16.1
2006-07,Chris Paul,21,NOK,0.466,8.9,0.8,3.5,17.3
2007-08,Chris Paul,22,NOH,0.524,11.6,0.8,3.2,21.1
2008-09,Chris Paul,23,NOH,0.528,11,0.9,4.7,22.8
2009-10,Chris Paul,24,NOH,0.534,10.7,0.4,3.8,18.7
2010-11,Chris Paul,25,NOH,0.502,9.8,0.5,3.6,15.9
2011-12,Chris Paul,26,LAC,0.522,9.1,0.7,2.9,19.8
2012-13,Chris Paul,27,LAC,0.526,9.7,0.8,3,16.9
2013-14,Chris Paul,28,LAC,0.511,10.7,0.6,3.7,19.1
2014-15,Chris Paul,29,LAC,0.545,10.2,0.6,4,19.1
2015-16,Chris Paul,30,LAC,0.517,10,0.5,3.7,19.5
2016-17,Chris Paul,31,LAC,0.555,9.2,0.7,4.3,18.1
2017-18,Chris Paul,32,HOU,0.55,7.9,0.6,4.8,18.6
2018-19,Chris Paul,33,HOU,0.508,8.2,0.6,3.9,15.6
2019-20,Chris Paul,34,OKC,0.552,6.8,0.3,4.6,17.7
Career,Chris Paul,,,0.52,9.5,0.7,3.9,18.5
